Chapter Number,Chapter Title,Hadith Number,arabic_text,english_text,commentary,references,source_pdf,page_start,page_end
1,CHAPTER ON THE REASONS FOR THE OBLIGATION OF,1574,"أَبْوَابُ الزَّكَاةِ
بَابُ عِلَةِ وُجُوبِ الزَّكَاةِ
قَالَ [الشَيْخُ السَّعِيدُ ٱلْفَقِيهُ] أَبُو جَعْفَرِ مُحَمَّدُ بْنُ عَلِي بْنِ ٱلْحُسَيْنِ بْنِ مُوسَى بْنِ بَابَوَيْهِ ٱلْقُمِّيُ، [مُصَنَّفُ هَذَا ٱلْكِتَابِ] رَضِيَ
اللَّهُ عَنْهُ وَ أَسْكَنَهُ جَنَّتَهُ
عَبْدُ اللَّهِ بْنُ سِنَانٍ عَنْ أَبِي عَبْدِ اللّهِ عَلَيْهِ السَّلَامُ قَالَ: «إِنَّ اللَّهَ عَزَّ وَ جَلَّ فَرَضَ الزَّكَاةَ كَمَا فَرَضَ الصَّلاَةَ
فَلَوْ أَنّ رَجُلاً حَمَلَ الزَّكَاةَ فَأَعْطَاهَا عَلانِيَةً لَمْ يَكُنُ عَلَيْهِ فِي ذَلِكَ عَيْبٌ وَ ذَلِكَ أَنْ اللّهَ عَزَّ وَ جَلَّ فَرَضَ لِلْفُقَرَاءِ فِي
أَمْوَالِ الْأَغْنِيَاءِ مَا يَكْتَفُونَ بِهِ وَ لَوْ عَلِمَ أَنْ آلَّذِي فَرَضَ لَهُمْ لا يَكُفِيهِمْ لَزَادَهُمْ وَ إِنَّمَا يُوْتَى ٱلْفُقَرَاءُ فِيمَا أُوثُوا مِنْ
مَنْعِ مَنْ مَنَعَهُمْ حُقُوقَهُمْ لا مِنَ الْفَرِيضَةِ».","Abdullah ibn Sinan reported from Abu Abdullah Imam Jafar ibn Muhammad
Al-Sadiq {a.s} who said:
""Indeed, Allah {SWT}, the Almighty and Majestic, has ordained Zakat just as He has
ordained prayer.
If a man were to carry the Zakat and give it openly, there would be no fault upon him in
that, because Allah {SWT}, the Almighty and Majestic, has decreed for the poor in the
wealth of the rich that which suffices them.
And if Allah {SWT} knew that what Allah {SWT} has ordained for them would not suffice
them, then Allah {SWT} would have increased it.
The deprivation faced by the poor in what they are given stems from the refusal of
those who withhold their rightful dues, not from the insufficiency of the obligation.""",,"Man La Yahduruhu Al-Faqih, Vol. 2 • Al-Kafi, Vol. 3, p. 498 • Ilal al-Sharai’, Vol. 2, p. 368 • Al- Wafi, Vol. 10, p. 47 • Wasa’il Al-Shi’a, Vol. 9, p. 10 • Bihar Al-Anwar, Vol. 93, p. 18",man-la-yahduruhu-al-faqih-vol.2.pdf,29,29
1,CHAPTER ON THE REASONS FOR THE OBLIGATION OF ZAKAT,1575,"ام ا م
وَ رَوَى مُبَارَك الْعَقَرْقُوفِيّ عَنْ أَبِي ٱلْحَسَنِ مُوسَى بْنِ جَعْفَرٍ عَلَيْهِمَا السَلَاَمُ قَالَ: «إِنَّمَا وُضِعَتِ الزِّكَاةُ قُوتاً
لِلْفُقَرَاءِ وَ تَوْفِيراً لِأَمْوَالِهِمْ».","Mubarak Al-Aqrqoufi narrated from Abu Al-Hasan Imam Musa ibn Jafar Al-
Kadhim {a.s} who said:
""Zakat was established as sustenance for the poor and a means of increasing their
wealth.""",,"Man La Yahduruhu Al-Faqih, Vol. 2 • Al Mahasin, Part 2, p. 319 • Al-Kafi, Vol. 3, p. 498 • Ilal al-Sharai’, Vol. 2, p. 368 • Al-Wafi, Vol. 10, p. 47 • Wasa’il Al-Shi’a, Vol. 9, p. 10 • Wasa’il Al-Shi’a, Vol. 9, p. 211 • Bihar Al-Anwar, Vol. 93, p. 18",man-la-yahduruhu-al-faqih-vol.2.pdf,30,30
1,CHAPTER ON THE REASONS FOR THE OBLIGATION OF ZAKAT,1576,- وَ رَوَى مُوسَى بْنُ بَكْرٍ عَنْ أَبِي الْحَسَنِ مُوسَى بْنِ جَعْفَرٍ عَلَيْهِمَا السَّلاَمُ قَالَ: «حَصِّنُوا أَمْوَالَكُمْ بِالزَّكَاةِ».,"Musa ibn Bakr reported from Abu al-Hasan Imam Musa Al-Kadhim {a.s} who
said: ""Protect your wealth through Zakat.""",,"Man La Yahduruhu Al-Faqih, Vol. 2 • Al-Kafi, Vol. 4, p. 61 • Al-Muqni’ah, Part 1, p. 269 • Ghurar Al-Hikam, Part 1, p. 350 • Al-Wafi, Vol. 10, p. 43 • Wasa’il Al-Shi’a, Vol. 9, p. 11 • Wasa’il Al-Shi’a, Vol. 9, p. 14 • Bihar Al-Anwar, Vol. 93, p. 13 • Mustadrak Al-Wasail, Vol. 7, p. 12",man-la-yahduruhu-al-faqih-vol.2.pdf,30,30
1,CHAPTER ON THE REASONS FOR THE OBLIGATION OF ZAKAT,1577,"وَ رَوَى حَرِيزٌ عَنْ زُرَارَةَ وَ مُحَمَّدِ بْنِ مُسْلِمِ : أَنَّهُمَا قَالاَ لِأَبِي عَبْدِ اللّهِ عَ أَرَأَيْتَ قَوْلَ آللّهِ عَزَّ وَ جَلَّ
«® إِنَّمَا الصَّدَقَاتُ لِلْفُقَرَاءِ وَ الْمَسَاكِينِ وَ الْعَامِلِينَ عَلَيْهَا وَ الْمُؤَلِّفَةِ قُلُوبُهُمْ وَ فِي الرِّقَابِ وَ الْغَارِمِينَ وَ فِي سَبِيلٍ
اللهِ وَ اِبْنِ السَّبِيلِ فَرِيضَةً مِنَ اللهِ » أَكْلُ هَؤُلاءِ يُعطَى وَ إِنْ كَانَ لا يَعْرِفُ فَقَالَ «إِنَّ ٱلْإِمَامَ يُغْطِي هَؤُلاءٍ
جَمِيعاً لِأَنَّهُمْ يُقِرُّونَ لَهُ بِالطَّاعَةِ » قَالَ زُرَارَةُ قُلْتُ فَإِنْ كَانُوا لاَ يَعْرِفُونَ فَقَالَ «يَا زُرَارَةُ لَوْ كَانَ يُعْطِي مَنْ يَعْرِفُ
دُونَ مَنْ لا يَغْرِفُ لَمْ يُوجَدْ لَهَا مَوْضِعْ وَ إِنَّمَا يُعْطِي مَنْ لاَ يَعْرِفُ لِيَرْغَبَ فِي الدِّينِ فَيَثْبُتَ عَلَيْهِ فَأَمَّا الْيَوْمَ فَلاَ
ثُغْطِهَا أَنْتَ وَ أَصْحَابُكَ إِلَّ مَنْ يَعْرِفُ فَمَنْ وَجَدْتَ مِنْ هَؤْلاءِ ٱلْمُسْلِمِينَ عَارِفاً فَأَعْطِهِ دُونَ النَّاسِ» ثُمَّ قَالَ «سَهُمُ
«الْمُؤَلَّفَةِ قُلُوبُهُمْ» وَ سَهمُ «الرِّقَابِ» عَامٌّ وَ الْبَاقِي خَاصُ » قَالَ قُلْتُ فَإِنْ لَمْ يُوجَدُوا قَالَ «لا تَكُونُ فَرِيضَةٌ قَرَضَهَا
اللَّهُ عَزَّ وَ جَلَّ وَ لا يُوجَدُ لَهَا أَهل» قَالَ قُلْتُ فَإِنْ لَمْ تَسَعْهُمُ الصَّدَقَاتُ قَالَ فَقَالَ «إِنَّ اللَّهَ عَزَّ وَ جَلَّ فَرَضَ لِلْفُقَرَاءِ
فِي مَالِ الْأَغْنِيَاءِ مَا يَسَعُهُمْ وَ لَوْ عَلِمَ أَنَّ ذَلِكَ لا يَسَعُهُمْ لَزَادَهُمْ إِنَّهُمْ لَمْ يُوْتَوْا مِنْ قِبَلِ فَرِيضَةِ اللَّهِ عَزَّ وَ جَلَّ وَ
لَكِنْ أُثُوا مِنْ مَنْعٍ مَنْ مَنَعَهُمْ حَقَّهُمْ لا مِمَّا فَرَضَ اللَّهُ لَهُمْ وَ لَوْ أَنَّ النَّاسَ أَدَّوا حُقُوقَهُمْ لَكَانُوا عَائِشِينَ بِخَيْرِ».","Hariz narrated from Zurara and Muhammad ibn Muslim that they both said to
Abu Abdullah {a.s}:
""What do you say about the verse of Allah {SWT} Almighty:
‘Indeed, alms are only for the poor, the needy, those employed to collect them, those
whose hearts are to be reconciled, for freeing captives, for those in debt, in the way of
Allah {SWT}, and for the stranded traveller - an obligation imposed by Allah {SWT}’ (Surah
At-Tawbah 9:60)? Should all these categories be given, even if they do not recognize
(the Imam)?""
Imam {a.s} replied: ""The Imam distributes to all of them because they acknowledge his
authority.""
Zurara asked: ""What if they do not recognize (the Imam)?""
Imam {a.s} replied: ""O Zurara, if he were to give to those who recognize and withhold
from those who do not, there would be no recipients left for these funds. He gives to
those who do not recognize in order to attract them to the religion and stabilize them
in it. However, today, neither you nor your companions should give it except to those
who recognize (the Imam). If you find among these Muslims someone who is aware,
give it to him rather than others.""
Imam then added: ""The share of ‘those whose hearts are to be reconciled’ and the
share of ‘freeing captives’ is general, while the rest are specific.""
Zurara asked: ""What if there are no eligible recipients?""
Imam {a.s} replied: ""A duty that Allah {SWT} Almighty has prescribed will never lack
recipients.""
Zurara further asked: ""What if the alms are not sufficient to meet their needs?""
Imam responded: "" Allah {SWT} Almighty has prescribed for the poor in the wealth of the
rich what suffices them. Had He known that this would not suffice them, He would
have increased it. The shortage is not due to Allah’s {SWT} decree, but due to those who
withhold their due rights. Had people fulfilled their obligations, everyone would be
living in ease.""",,"Man La Yahduruhu Al-Faqih, Vol. 2 • Al-Kafi, Vol. 3, p. 496 • Tahdhib Al-Ahkam, Vol. 4, p. 49 • Al-Wafi, Vol. 10, p. 163 • Wasa’il Al-Shi’a, Vol. 9, p. 209 • Tafsir al-Burhan, Vol. 2, p. 796 • Tafsir Nur Al- Thaqalayn, Part 2, p. 228 • Tafsir Kanz Al-Daqaiq, Part 5, p. 478",man-la-yahduruhu-al-faqih-vol.2.pdf,31,31
1,CHAPTER ON THE REASONS FOR THE OBLIGATION OF ZAKAT,1578,"وَ قَالَ الصَادِقُ عَلَيْهِ السَّلامُ لِعَمَّارِ بْنِ مُوسَى السَّابَاطِيِّ: «يَا عَمَّارُ أَنْتَ رَبُّ مَالٍ كَثِيرِ» قَالَ نَعَمْ جُعِلْتُ
فِدَاكَ قَالَ «فَتُوَدِي مَا اِفْتَرَضَ اللَّهُ عَلَيْكَ مِنَ الزَّكَاةِ» فَقَالَ نَعَمْ قَالَ «فَتُخْرِجُ ٱلْحَقَ ٱلْمَعْلُومَ مِنْ مَالِكَ » قَالَ نَعَمْ
قَالَ «فَتَصِلُ قَرَابَتَكَ» قَالَ نَعَمْ قَالَ «فَتَصِلُ إِخْوَانَكَ» قَالَ نَعَمْ فَقَالَ «يَا عَمَّارُ إِنَّ ٱلْمَالَ يَفْنَى وَ ٱلْبَدَنَ يَبْلَى وَ
الْعَمَلَ يَبْقَى وَ الدِّيَّانَ حَيْ لا يَمُوتُ يَا عَمَّارُ أَمَا إِنَّهُ مَا قَدَّمْتَ فَلَنْ يَسْبِقَكَ وَ مَا أَخَرْتَ فَلَنْ يَلْحَقَكَ ».","Imam Jafar ibn Muhammad Al-Sadiq {a.s} said to Ammar ibn Musa al-Sabati:
""O Ammar, you are a man of considerable wealth.""
Ammar replied: ""Yes, may I be your ransom.""
Imam asked: ""Do you fulfill what Allah {SWT} has made obligatory upon you in terms of
Zakat?""
Ammar said: ""Yes.""
Imam then asked: ""Do you give the known right from your wealth?""
Ammar replied: ""Yes.""
The Imam continued: ""Do you maintain ties with your relatives?""
Ammar said: ""Yes.""
The Imam asked further: ""Do you support your brothers?""
Ammar replied: ""Yes.""
The Imam then said: ""O Ammar, wealth perishes, the body decays, and deeds remain.
The Reckoner (Allah {SWT}) is living and does not die. O Ammar, indeed, what you have
sent ahead will never leave you, and what you delay will never reach you.""",,"Man La Yahduruhu Al-Faqih, Vol. 2 • Al-Kafi, Vol. 3, p. 501 • Al-Kafi, Vol. 4, p. 27 • Al-Wafi, Vol. 10, p. 378 • Wasa’il Al-Shi’a, Vol. 9, p. 50",man-la-yahduruhu-al-faqih-vol.2.pdf,32,32
1,CHAPTER ON THE REASONS FOR THE OBLIGATION OF ZAKAT,1579,"وَ فِي رِوَايَةِ أَبِي الْحُسَيْنِ مُحَمَّدِ بْنِ جَعْفَرِ الْأَسَدِيَّ رَضِيَ اللَّهُ عَنْهُ عَنْ مُحَمَّدِ بْنِ إِسْمَاعِيلَ الْبَرْمَكِيِّ عَنْ
عَبْدِ اللّهِ بْنِ أَحْمَدَ عَنِ الْفَضْلِ بْنِ إِسْمَاعِيلَ عَنْ مُعَتَّبِ مَوْلَى الصَّادِقِ عَلَيْهِ السَّلاَمُ قَالَ قَالَ ٱلصَّادِقُ عَلَيْهِ ٱلسَّلاَمُ
: «إِنَّمَا وُضِعَتِ الزَّكَاةُ اِخْتِبَاراً لِلْأَغْنِيَاءِ وَ مَعُونَةً لِلْفُقَرَاءِ وَ لَوْ أَنَّ النَّاسَ أَدَّوْا زَكَاةَ أَمْوَالِهِمْ مَا بَقِيَ مُسْلِمٌ فَقِيراً
مُحْتَاجاً وَ لاَسْتَغْنَى بِمَا فَرَضَ اللّهُ عَزَّ وَ جَلَّ لَهُ وَ إِنّ النَّاسَ مَا اِفْتَقَرُوا وَ لاَ اِحْتَاجُوا وَ لاَ جَاعُوا وَ لا عَرُوا إِلاّا
بِذُنُوبِ الْأَغْنِيَاءِ وَ حَقِيقٌ عَلَى اللَّهِ عَزَّ وَ جَلَّ أَنْ يَمْنَعَ رَحْمَتَهُ مَنْ مَنَعَ حَقّ اللَّهِ فِي مَالِهِ وَ أُقْسِمُ بِالَّذِي خَلَقَ ٱلْخَلْقَ
وَ بَسَطَ الرِّزْقَ أَنَّهُ مَا ضَاعَ مَالٌ فِي بَرِّ وَ لا بَحْرٍ إِلاَّ بِتَرْكِ الزَّكَاةِ وَ مَا صِيدَ صَيْدٌ فِي بَرِّ وَ لا بَحْرٍ إِلاَّ بِتَرْكِهِ التَّسْبِيحَ
فِي ذَلِكَ الْيَوْمِ وَ إِنَّ أَحَبَ النَّاسِ إِلَى اللَّهِ عَزَّ وَ جَلَّ أَسْخَاهُمْ كَفّاً وَ أَسْخَى النَّاسِ مَنْ أَدِّى زَكَاةَ مَالِهِ وَ لَمْ يَنْخَلْ
عَلَى الْمُؤْمِنِينَ بِمَا اِفْتَرَضَ اللَهُ عَزَّ وَ جَلَّ لَهُمْ فِي مَالِهِ».","In a narration from Abu al-Husayn Muhammad ibn Ja'far al-Asadi, may Allah
{SWT} be pleased with him, from Muhammad ibn Isma'il al-Barmaki, from Abdullah ibn
Ahmad, from al-Fadl ibn Isma'il, from Mu'attib, the servant of Imam Jafar ibn
Muhammad Al-Sadiq {a.s}:
Imam Jafar ibn Muhammad Al-Sadiq {a.s} said:
""Zakat was ordained as a test for the wealthy and as support for the poor. If people
paid the Zakat on their wealth, no Muslim would remain poor or in need. They would
find sufficiency through what Allah {SWT}, the Almighty and Majestic, has prescribed for
them. People only become impoverished, needy, hungry, or unclothed because of the
sins of the wealthy. It is a truth upon Allah {SWT}, the Almighty and Majestic, that He
withholds His mercy from those who withhold Allah’s {SWT} right in their wealth.
I swear by the One who created creation and spread sustenance that no wealth is lost
on land or sea except due to the neglect of Zakat. And no prey is hunted on land or sea
except due to the neglect of glorification (of Allah {SWT}) on that day.
Indeed, the most beloved of people to Allah {SWT}, the Almighty and Majestic, are the
most generous in giving, and the most generous of people is the one who pays the
Zakat of his wealth and does not withhold from the believers what Allah {SWT}, the
Almighty and Majestic, has ordained for them in his wealth.""",,"Man La Yahduruhu Al-Faqih, Vol. 2 • Awaali al-La’aali, Part 1, p. 370 • Al-Wafi, Vol. 10, p. 50 • Wasa’il Al-Shi’a, Vol. 9, p. 12",man-la-yahduruhu-al-faqih-vol.2.pdf,33,33
1,CHAPTER ON THE REASONS FOR THE OBLIGATION OF ZAKAT,1580,"وَ كَتَبَ الرِّضَا عَلِيْ بْنُ مُوسَى عَلَيْهِ السَّلَاَمُ إِلَى مُحَمَّدِ بْنِ سِنَانٍ فِيمَا كَتَبَ إِلَيْهِ مِنْ جَوَابٍ مَسَائِلِهِ: «أَنَّ
عِلَّةَ الزَّكَاةِ مِنْ أَجْلِ قُوتِ ٱلْفُقَرَاءِ وَ تَحْصِينِ أَمْوَالِ الْأَغْنِيَاءِ لِأَنّ اللَّهَ عَزَّ وَ جَلَ كَلِّفَ أَهْلَ الصِّحَةِ الْقِيَامَ بِشَأْنِ أَهْلِ
الزَّمَانَةِ وَ الْبَلْوَى كَمَا قَالَ اللَّهُ تَبَارَكَ وَ تَعَالَى، « لَثُبْلَوُنَّ فِي أَمْوْالِكُمْ وَ أَنْفُسِكُمْ ) فِي أَمْوَالِكُمْ إِخْرَاجُ ٱلزَّكَاةِ
وَ فِي أَنْفُسِكُمْ تَوْطِينُ الْأَنْفُسِ عَلَى الصَّبْرِ مَعَ مَا فِي ذَلِكَ مِنْ أَدَاءِ شُكْرٍ نِعَمِ اللَّهِ عَزَّ وَ جَلَّ وَ الطَّمَعِ فِي الزِّيَادَةِ
مَعَ مَا فِيهِ مِنَ الزِّيَادَةِ وَ الرَّاْفَةِ وَ الرَّحْمَةِ لِأَهْلِ الضَّعْفِ وَ الْعَطْفِ عَلَى أَهْلِ الْمَسْكَنَةِ وَ الْحَثَّ لَهُمْ عَلَى الْمُوَاسَاةِ
وَ تَقْوِيَةِ الْفُقَرَاءِ وَ الْمَعُونَةِ لَهُمْ عَلَى أَمْرِ الدِّينِ وَ هُوَ عِظَةٌ لِأَهْلِ الْغِنَى وَ عِبْرَةٌ لَهُمْ لِيَسْتَدِلُوا عَلَى فُقَرَاءِ الْآخِرَةِ
بِهِمْ وَ مَا لَهُمْ مِنَ ٱلْحَثّ فِي ذَلِكَ عَلَى الشُّكْرِ لِلْهِ تَبَارَكَ وَ تَعَالَى لِمَا خَوَّلَهُمْ وَ أَعْطَاهُمْ وَ الدُّعَاءِ وَ التَّضَرُّعِ وَ الْخَوْفِ
مِنْ أَنْ يَصِيرُوا مِثلَهُمْ فِي أُمُورٍ كَثِيرَةٍ فِي أَدَاءِ الزَّكَاةِ وَ الصِّدَقَاتِ وَ صِلَةِ الْأَرْحَامِ وَ اِصْطِنَاعِ الْمَعْرُوفٍ».","Imam Ali ibn Musa Ar-Ridha {a.s} wrote to Muhammad ibn Sinan in response to
his questions:
""The reason for the obligation of Zakat is to provide sustenance for the poor and to
protect the wealth of the rich. Allah {SWT}, the Almighty and Majestic, has tasked the
healthy with caring for those who are afflicted and tested, as Allah {SWT}, Blessed and
Exalted, says: 'You will surely be tested in your wealth and your souls' (Surah Ali ’Imran
3:186).
In your wealth, it refers to the giving of Zakat, and in your souls, it refers to preparing
yourselves for patience. This also serves as an expression of gratitude for Allah’s {SWT}
blessings, an aspiration for an increase in provision, and a means of fostering
compassion and mercy for the weak, sympathy for the impoverished, and
encouragement for mutual assistance and solidarity.
It strengthens the poor and aids them in their religious duties. It also serves as a
reminder and a lesson for the wealthy to reflect on the poor of the Hereafter through
the poor of this world. It inspires them to thank Allah {SWT}, Blessed and Exalted, for what
He has bestowed upon them, and to make supplications, humble themselves, and
fear becoming like the impoverished in many matters.
These include fulfilling Zakat, giving in charity, maintaining ties of kinship, and
performing acts of kindness.""",,"Man La Yahduruhu Al-Faqih, Vol. 2 • Ilal al-Sharai’, Vol. 2, p. 369 • Al-Wafi, Vol. 10, p. 50 • Wasa’il Al-Shi’a, Vol. 9, p. 12 • Bihar Al-Anwar, Vol. 93, p. 18 • Tafsir Nur Al-Thaqalayn, Part 1, p. 74 • Tafsir Kanz Al-Daqaiq, Part 1, p. 403",man-la-yahduruhu-al-faqih-vol.2.pdf,33,34
1,CHAPTER ON THE REASONS FOR THE OBLIGATION OF ZAKAT,1581,"وَ قَالَ أَبُو الْحَسَنِ مُوسَى بْنُ جَعْفَرٍ عَلَيْهِمَا السَّلَامُ : «مَنْ أَخْرَجَ رَكَاةَ مَالِهِ تَامَّةً فَوَضَعَهَا فِي مَوْضِعِهَا لَمْ
يُسْأَلْ مِنْ أَيْنَ اِكْتَسَبَ مَالَهُ».","Abu al-Hasan Imam Musa ibn Jafar Al-Kadhim {a.s} said:
""Whoever pays the full Zakat on his wealth and allocates it properly will not be
questioned about how he earned his wealth.""",,"Man La Yahduruhu Al-Faqih, Vol. 2 • Al-Kafi, Vol. 3, p. 504 • Thawab al-A’mal wa Iqab al- A’mal, Part 1, p. 46 • Al-Wafi, Vol. 10, p. 44 • Wasa’il Al-Shi’a, Vol. 9, p. 218 • Bihar Al-Anwar, Vol. 93, p. 19",man-la-yahduruhu-al-faqih-vol.2.pdf,34,34
1,CHAPTER ON THE REASONS FOR THE OBLIGATION OF ZAKAT,1582,"وَ قَالَ الصَّادِقُ عَلَيْهِ ٱلسِّلاَمُ : «إِنَّمَا جَعَلَ اللَّهُ عَزَّ وَ جَلَّ الزَّكَاةَ فِي كُلِّ أَلْفٍ خَمْسَةً وَ عِشرِينَ دِرْهَماً لِأَنَّهُ
عَزِّ وَ جَلَ خَلَقَ الْخَلْقَ فَعَلِمَ غَنِيَّهُمْ وَ فَقِيرَهُمْ وَ قَوِيَّهُمْ وَ ضَعِيفَهُمْ فَجَعَلَ مِنْ كُلِّ أَلْفٍ خَمْسَةً وَ عِشَرِينَ مِسْكِيناً
وَلَوْلاَ ذَلِكَ لَزَادَهُمُ اللَّهُ لِأَنْهُ خَالِقُهُمْ وَ هُوَ أَعْلَمُ بِهِمْ.","Imam Jafar ibn Muhammad Al-Sadiq {a.s} said:
""Allah {SWT}, the Almighty and Majestic, has prescribed Zakat as twenty-five dirhams for
every thousand because He created the creation and knew their wealthy and their
poor, their strong and their weak. He allocated from every thousand an amount
sufficient for twenty-five poor individuals. If this were not sufficient, Allah {SWT} would
have increased it, for He is their Creator and knows them best.""",,"Man La Yahduruhu Al-Faqih, Vol. 2",man-la-yahduruhu-al-faqih-vol.2.pdf,34,34
2,CHAPTER ON WHAT HAS BEEN NARRATED ABOUT,1583,"بَابٌ مَا جَاءَ فِي مَانِعِ الزَّكَاةِ
رَوَى حَرِيزٌ عَنْ أَبِي عَبْدِ اللّهِ عَلَيْهِ السَّلاَمُ أَنَّهُ قَالَ: «مَا مِنْ ذِي مَالٍ ذَهَبِ أَوْ فِضَّةٍ يَمْنَعُ رَكَاةَ مَالِهِ إِلاَّ
حَبَسَهُ اللَّهُ عَزَّ وَ جَلَّ، يَوْمَ الْقِيَامَةِ بِقَاعِ قَرْقَرٍ وَ سَلَّطَ عَلَيْهِ شُجَاعاً أَقْرَعَ يُرِيدُهُ وَ هُوَ يَجِيدُ عَنْهُ فَإِذَا رَأَى أَنَّهُ لاَ
يَتَخَلَّصُ مِنْهُ أَمْكَنَهُ مِنْ يَدِهِ فَقَضِمَهَا كَمَا يُقْضَمُ الْفُجْلُ ثُمَّ يَصِيرُ طَوْقاً فِي عُنْقِهِ وَ ذَلِكَ قَوْلُ اللَّهِ عَزّ وَ جَلَّ
« سَيُطَوَّقُونَ مَا بَخِلُوا بِهِ يَوْمَ الْقِيامَةِ )
وَ مَا مِنْ ذِي مَالِ إبِلِ أَوْ بَقَرٍ أَوْ غَنَمِ يَمْنَعُ زَكَاةَ مَالِهِ إِلّا حَبَسَهُ اللَّهُ، يَوْمَ ٱلْقِيَامَةِ بِقَاعِ قَرْقَرِ يَطَوُهُ كُلُّ ذَاتِ ظِلْفٍ
بِظِلْفِهَا وَ يَنْهَشُهُ كُلُّ ذَاتِ نَابٍ بِنَابِهَا وَ مَا مِنْ ذِي مَالٍ نَخْلٍ أَوْ كَرْمِ أَوْ زَرْعِ يَمْنَعُ رَكَاتَهُ إِلاَّ طَوَّقَهُ اللّهُ تَعَالَى رَيْعَةَ
أَرْضِهِ إِلَى سَبْعِ أَرَضِينَ إِلَى يَوْمِ الْقِيَامَةِ ».","Hariz reported from Abu Abdullah Imam Jafar ibn Muhammad Al-Sadiq {a.s} that
he said:
""Anyone who possesses wealth in gold or silver and withholds the Zakat of his wealth
will be confined by Allah {SWT}, the Almighty and Majestic, on the Day of Resurrection in
a flat, open plain. A bald snake will be unleashed upon him, chasing him as he
attempts to flee. When he realizes he cannot escape, the snake will seize his hand and
bite it like a radish is bitten, and then it will coil around his neck. This is the meaning of
Allah’s {SWT} statement: 'They will be encircled by what they withheld on the Day of
Resurrection' (Surah Ali ‘Imran 3:180).
And anyone who possesses wealth in the form of camels, cows, or sheep and
withholds the Zakat of his wealth will be confined by Allah {SWT}, the Almighty, on the
Day of Resurrection in a flat, open plain. Every animal with a hoof will trample upon
him with its hooves, and every animal with fangs will bite him with its fangs.
And anyone who possesses wealth in the form of palm trees, grapevines, or crops and
withholds its Zakat, Allah {SWT}, the Exalted, will place upon him the burden of the yield
of his land, extending to the depth of seven earths, until the Day of Resurrection.""",,"Man La Yahduruhu Al-Faqih, Vol. 2 • Al-Kafi, Vol. 3, p. 505 • Thawab al-A’mal wa Iqab al- A’mal, Part 1, p. 235 • Ma’ani al-Akhbar, Part 1, p. 335 • Al-Wafi, Vol. 10, p. 39 • Wasa’il Al-Shi’a, Vol. 9, p. 20 • Bihar Al-Anwar, Vol. 93, p. 16 • Tafsir Kanz Al-Daqaiq, Part 3, p. 276",man-la-yahduruhu-al-faqih-vol.2.pdf,35,35
