Chapter Number,Chapter Title,Hadith Number,arabic_text,english_text,commentary,references,source_pdf,page_start,page_end
1,CHAPTER ON THOSE TO WHOM JUDGMENT IS,3216,"أَبْوَابُ الْقَضَايَا وَ الْأَحْكَامِ
بَابُ مَنْ يَجُوزُ التَّحَاكُمُ إِلَيْهِ وَ مَنْ لَا يَجُوزُ
رَوَى أَحْمَدُ بْنُ عَائِذٍ عَنْ أَبِي خَدِيجَةَ سَالِمِ بْنِ مُكْرَمِ الْجَمَالِ قَالَ قَالَ أَبُو عَبْدِ اللّهِ جَعْفَرُ بْنُ مُحَمَّدٍ
الصَّادِقُ عَلَيْهِ السَّلاَمُ : «إِيَّاكُمْ أَنْ يُحَاكِمَ بَعْضُكُمْ بَعْضاً إِلَى أَهْلِ الْجَوْرِ وَ لَكِنِ أُنْظُرُوا إِلَى رَجُلٍ مِنْكُمْ، يَعْلَمُ شَيْئاً
مِنْ قَضَايَانَا فَاجْعَلُوهُ بَيْنَكُمْ فَإِنِّي قَدْ جَعَلْتُهُ قَاضِياً فَتَحَاكَمُوا إِلَيْهِ».","Ahmad ibn A’idh narrated from Abu Khadijah Salim ibn Mukram al-Jammal,
who said: Abu Abdullah Imam Jafar ibn Muhammad Al-Sadiq {a.s} said:
""Beware that none of you should take another to judgment before the people of
tyranny. Instead, look for a man among you who knows something of our judgments,
and appoint him as a judge between you, for indeed I have appointed him as a judge.
So refer to him for judgment.""",,"Man La Yahduruhu Al-Faqih, Vol.3 p.3 • Tahdhib Al-Ahkam, Vol.6 p.219 • Wasa’il Al-Shi’ah, Vol.27 p.13 • Al-Fusul Al-Muhimmah, Vol.2 p.495",man-la-yahduruhu-al-faqih-vol.3-1.pdf,23,23
1,CHAPTER ON THOSE TO WHOM JUDGMENT IS,3217,"وَ رَوَى مُعَلَّى بْنُ خُنَيْسِ عَنِ الصَّادِقِ عَلَيْهِ ٱلسَلامُ قَالَ : قُلْتُ لَهُ قَوْلُ اللّهِ عَزَّ وَ جَلَ • إِنّ اللهَ يَأْمُرُكُمْ
أَنْ تُؤَدُّوا الْأَمَانَاتِ إِلَى أَهْلِهَا وَ إِذَا حَكَمْتُمْ بَيْنَ النَّاسِ أَنْ تَحْكُمُوا بِالْعَدْلِ ) قَالَ «عَلَى الْإِمَامِ أَنْ يَدْفَعَ مَا عِنْدَهُ
إِلَى الْإِمَامِ الَّذِي بَعْدَهُ وَ أَمِرَتِ ٱلْأَئِمَةُ أَنْ يَحْكُمُوا بِالْعَدْلِ وَ أَمِرَ النَّاسُ أَنْ يَتَّبِعُوهُمْ».","Mualla ibn Khunays narrated from Imam Jafar ibn Muhammad Al-Sadiq {a.s}.
He said: I asked Imam {a.s} about the saying of Allah {SWT}, the Mighty and Majestic:
“Indeed, Allah {SWT} commands you to render trusts to their owners and when you judge
between people, to judge with justice.” (Surah An-Nisa 4:58)
Imam {a.s} replied: ""It is incumbent upon the Imam {a.s} to hand over what is with him to
the next Imam {a.s} who comes after him. The Imams {a.s} have been commanded to
judge with justice, and the people have been commanded to follow them.""",,"Man La Yahduruhu Al-Faqih, Vol.3 p.3 • Tahdhib Al-Ahkam, Vol.6 p.223 • Al-Wafi, Vol.16 p.917 • Wasa’il Al-Shi’ah, Vol.27 p.14 • Tafsir Al-Burhan, Vol.2 p.103 • Bahjat Al-Nazir, Vol.1 p.32",man-la-yahduruhu-al-faqih-vol.3-1.pdf,23,23
1,CHAPTER ON THOSE TO WHOM JUDGMENT IS PERMISSIBLE AND THOSE TO WHOM IT IS NOT PERMISSIBLE 10,3218,"3218 رَوَى عَطَاءُ بْنُ السَّائِبِ عَنْ عَلِيَّ بْنِ الْحُسَيْنِ عَلَيْهِمَا السَلاَمُ قَالَ : «إِذَا كُنْتُمْ فِي أَئِمَّةِ جَوْرِ فَاقْضُوا فِي
أَحْكَامِهِمْ وَلَا تَشُهَرُوا أَنْفُسَكُمْ فَتُقْتَلُوا وَ إِنْ تَعَامَلْثُمْ بِأَحْكَامِنَا كَانَ خَيْراً لَكُمْ ».","Ata’ ibn al-Sa’ib narrated from Imam Ali ibn Al-Hussain {a.s} who said:
""When you are under oppressive rulers, then judge according to their rulings and do
not expose yourselves, lest you be killed. However, if you conduct your dealings
according to our rulings, it will be better for you.""",,"Man La Yahduruhu Al-Faqih, Vol.3 p.3 • Ilal Al-Shara’i’, Vol.2 p.531 • Tahdhib Al-Ahkam, Vol.6 p.224 • Tahdhib Al-Ahkam, Vol.6 p.225 • Al-Wafi, Vol.16 p.905 • Wasa’il Al-Shi’ah, Vol.27 p.14 • Wasa’il Al- Shi’ah, Vol.27 p.226 • Bihar Al-Anwar, Vol.2 p.237",man-la-yahduruhu-al-faqih-vol.3-1.pdf,24,24
1,CHAPTER ON THOSE TO WHOM JUDGMENT IS PERMISSIBLE AND THOSE TO WHOM IT IS NOT PERMISSIBLE 10,3219,"وَ رَوَى الْحَسَنُ بْنُ مَحْبُوبٍ عَنْ عَبْدِ اللَّهِ بْنِ سِنَانٍ عَنْ أَبِي عَبْدِ اللَّهِ عَلَيْهِ السَّلاَمُ قَالَ : «أَيْمَا مُؤْمِنٍ قَدَّمَ
مُؤْمِناً فِي خُصُومَةٍ إِلَى قَاضٍ أَوْ سُلْطَانٍ جَائِرٍ فَقَضَى عَلَيْهِ بِغَيْرِ حُكْمِ اللّهِ عَزَّ وَ جَلَّ فَقَدْ شَرِكَهُ فِي الْإِثْمِ».","Al-Hasan ibn Mahbub narrated from Abdullah ibn Sinan, from Abu Abdillah
{a.s}, who said:
""Any believer who refers another believer to a judge or a tyrannical ruler, and he rules
against him contrary to the judgment of Allah {SWT}, the Mighty and Majestic, has indeed
shared in the sin.""",,"Al-Kafi, Vol.7 p.411 • Man La Yahduruhu Al-Faqih, Vol.3 p.4 • Tahdhib Al-Ahkam, Vol.6 p.218 • Al-Wafi, Vol.16 p.899 • Wasa’il Al-Shi’ah, Vol.27 p.11 • Al-Fusul Al-Muhimmah, Vol.2 p.495",man-la-yahduruhu-al-faqih-vol.3-1.pdf,24,24
1,CHAPTER ON THOSE TO WHOM JUDGMENT IS PERMISSIBLE AND THOSE TO WHOM IT IS NOT PERMISSIBLE 10,3220,"وَ رَوَى حَرِيزٌ عَنْ أَبِي بَصِيرٍ عَنْ أَبِي عَبْدِ اللَّهِ عَلَيْهِ السِّلاَمُ أَنَّهُ قَالَ : «أَيُمَا رَجُلِ كَانَ بَيْنَهُ وَ بَيْنَ أَخٍ لَهُ،
مُمَارَاةٌ فِي حَقٌّ فَدَعَاهُ إِلَى رَجُلٍ مِنْ إِحْوَانِكُمْ لِيَحْكُمَ بَيْنَهُ وَ بَيْنَهُ فَأَبَى إِلَّ أَنْ يُرَافِعَهُ إِلَى هَوُلاءِ كَانَ بِمَنْزِلَةِ الَّذِينَ
قَالَ اللهُ عَزَّ وَ جَلَّ: أَلَمْ تَرَ إِلَى الَّذِينَ يَزْعُمُونَ أَنَّهُمْ آمَنُوا بِمَا أُنْزِلَ إِلَيْكَ وَ مَا أُنْزِلَ مِنْ قَبْلِكَ يُرِيدُونَ أَنْ
بَتَحَاكَمُوا إِلَى الطّاغُوتِ وَ قَدْ أُمِرُوا أَنْ يَكْفُرُوا بِهِ » آلْآَيَةَ.","Hariz narrated from Abu Basir, from Abu Abdillah {a.s} that he said:
""Any man who has a dispute with his brother over a right, and he calls him to a man
from among your brothers to judge between them, but he refuses and insists on taking
him to these (unjust judges), is like those about whom Allah {SWT}, the Mighty and
Majestic, said:
'Have you not seen those who claim to have believed in what was revealed to you and
what was revealed before you? They wish to refer their judgment to Taghut, while they
were commanded to reject it'"" (Surah An-Nisa 4:60).",,"Al-Kafi, Vol.7 p.411 • Man La Yahduruhu Al-Faqih, Vol.3 p.4 • Tahdhib Al-Ahkam, Vol.6 p.220 • Al-Wafi, Vol.16 p.899 • Tafsir Al-Safi, Vol.1 p.466 • Wasa’il Al-Shi’ah, Vol.27 p.11 • Tafsir Al-Burhan, Vol.2 p.116 • Tafsir Nur Al-Thaqalayn, Vol.1 p.508",man-la-yahduruhu-al-faqih-vol.3-1.pdf,24,24
2,CHAPTER ON THE CATEGORIES OF JUDGES AND THE,3221,"بَابُ أَصْنَافِ الْقُضَاةِ وَ وُجُوهِ الْحُكْمِ
قَالَ الصَّادِقُ عَلَيْهِ السَّلاَمُ : «الْقُضَاةُ أَرْبَعَةٌ ثَلاَثَةٌ فِي النَّارِ وَ وَاحِدٌ فِي الْجَنَّةِ رَجُلٌ قَضَى بِجَوْرٍ وَ هُوَ
يَعْلَمُ فَهُوَ فِي النَّارِ وَ رَجُلٌ قَضَى بِجَوْرٍ وَ هُوَ لاَ يَعْلَمُ فَهُوَ فِي النَّارِ وَ رَجُلٌ قَضَى بِحَقَّ وَ هُوَ لاَ يَعْلَمُ فَهُوَ فِي اَلنَّارِ
وَ رَجُلٌ قَضَى بِالْحَقَّ وَ هُوَ يَعلَمُ فَهُوَ فِي الْجَنَّةِ» وَ قَالَ عَلَيْهِ السَّلاَمُ «الْحُكْمُ حُكْمَانِ حُكْمُ ٱللَهِ عَزَّ وَ جَلَّ وَ حُكْمُ
أهْلِ الْجَاهِلِيَّةِ فَمَنْ أَخْطَأً حُكْمَ اللَّهِ عَزَّ وَ جَلَّ حَكَمَ بِحُكْمِ أُهْلِ الْجَاهِلِيَّةِ وَ مَنْ حَكَمَ بِدِرْهَمَيْنِ بِغَيْرٍ مَا أَنْزَلَ اللَّهُ
عَزَّ وَ جَلَّ فَقَدْ كَفَرَ بِاللّهِ تَعَالَى ».","Abu Abdullah Imam Jafar ibn Muhammad Al-Sadiq {a.s} said:
""The judges are four: three are in the Fire, and one is in Paradise.
A man who judges unjustly while he knows is in the Fire.
A man who judges unjustly while he does not know is in the Fire.
A man who judges justly while he does not know is in the Fire.
And a man who judges justly while he knows is in Paradise.""
Al-Sadiq {a.s} also said:
""Judgment is of two kinds: the judgment of Allah {SWT}, the Mighty and Majestic, and the
judgment of the people of ignorance.
Whoever deviates from the judgment of Allah {SWT}, the Mighty and Majestic, has judged
by the judgment of the people of ignorance.
And whoever judges for two dirhams contrary to what Allah {SWT}, the Mighty and
Majestic, has revealed has indeed disbelieved in Allah {SWT}, the Exalted.""",,"Al-Kafi, Vol.7 p.407 • Man La Yahduruhu Al-Faqih, Vol.3 p.4 • Tahdhib Al-Ahkam, Vol.6 p.218 • Al-Wafi, Vol.16 p.888 • Tafsir Al-Burhan, Vol.2 p.312",man-la-yahduruhu-al-faqih-vol.3-1.pdf,25,25
3,CHAPTER ON AVOIDING JUDGMENTS,3222,"بَابُ اتَّقَاء الْحُكُومَةِ
رَوَى سُلَيْمَانُ بْنُ خَالِدِ عَنْ أَبِي عَبْدِ اللَّهِ عَلَيْهِ السَّلامُ قَالَ : «إِنَّقُوا الْحُكُومَةَ فَإِنَّ ٱلْحُكُومَةَ إِنَّمَا هِيَ لِلْإِمَامِ
اَلْعَالِم بِالْقَضَاءِ الْعَادِلِ فِي الْمُسْلِمِينَ كَنَبِيَّ أَوْ وَصِيَّ نَبِيٍّ».","Sulayman ibn Khalid narrated from Abu Abdillah {a.s} who said:
""Beware of judging, for judgment is only for an Imam who is knowledgeable in judicial
matters and just among the Muslims, like a prophet or the executor of a prophet.""",,"Al-Kafi, Vol.7 p.406 • Man La Yahduruhu Al-Faqih, Vol.3 p.5 • Tahdhib Al-Ahkam, Vol.6 p.217 • Al-Wafi, Vol.16 p.887 • Wasa’il Al-Shi’ah, Vol.27 p.17 • Al-Fusul Al-Muhimmah, Vol.1 p.542",man-la-yahduruhu-al-faqih-vol.3-1.pdf,26,26
3,CHAPTER ON AVOIDING JUDGMENTS,3223,"وَ قَالَ أَمِيرُ ٱلْمُؤْمِنِينَ عَلَيْهِ السَّلاَمُ لِشُرَيْحِ : «يَا شُرَيْحُ قَدْ جَلَسْتَ مَجْلِساً مَا جَلَسَهُ إِلاَّ نَبِيٌّ أَوْ وَصِيْ نَبِيّ
أَو شَقِيٌّ».","Commander of the Faithful Imam Ali ibn Abi Talib {a.s} said to Shurayh:
""O Shurayh, you have sat in a position that none has sat in except a prophet, the
executor of a prophet, or a wretched person.""",,"Man La Yahduruhu Al-Faqih, Vol.3 p.5",man-la-yahduruhu-al-faqih-vol.3-1.pdf,26,26
4,CHAPTER ON THE DISLIKE OF SITTING WITH JUDGES,3224,"بَابٌ كَرَاهَةِ مُجَالَسَةِ الْقُضَاةِ فِي مَجَالِسِهِمْ
رَوَى مُحَمَّدُ بْنُ مُسْلِمِ قَالَ : مَرَّ بِي أَبُو جَعْفَرٍ عَلَيْهِ السَّلاَمُ وَ أَنَا جَالِسٌ عِنْدَ الْقَاضِي بِالْمَدِينَةِ فَدَخَلْتُ
عَلَيْهِ مِنَ الْغَدِ فَقَالَ لِي «مَا مَجْلِسٌ رَأيْتُكَ فِيهِ أُمْسِ» قَالَ قُلْتُ لَهُ جُعِلْتُ فِدَاكَ إنَّ هَذَا الْقَاضِيَ بِيَ مُكْرِمْ قَرُبَّمَا
جَلَسْتُ إِلَيْهِ فَقَالَ لِي »وَ مَا يُوْمِنُكَ أَنْ تَنْزِلَ اللَّغْنَةُ فَتَعْمَكَ مَعَهُ».
وَ فِي خَبَرٍ آخَرَ: «فَتَعُمَّ مَنْ فِي ٱلْمَجْلِسِ».","Muhammad ibn Muslim narrated:
Abu Jafar Imam Muhammad ibn Ali Al-Baqir {a.s} passed by me while I was sitting with
the judge in Madinah.
The next day, I went to him, and Imam {a.s} said to me:
""What was the gathering I saw you in yesterday?""
I said to Him {a.s}: ""May I be your ransom! This judge honors me, so I sometimes sit with
him.""
Imam {a.s} said to me: ""And what ensures you that the curse will not descend and
encompass you along with him?""","And in another narration: ""…and encompass everyone in the gathering?""","Man La Yahduruhu Al-Faqih, Vol.3 p.5 • Tafsir Nur Al-Thaqalayn, Vol.1 p.727 • Tafsir Kanz Al- Daqaiq, Vol.4 p.353",man-la-yahduruhu-al-faqih-vol.3-1.pdf,27,27
4,CHAPTER ON THE DISLIKE OF SITTING WITH JUDGES,3225,- وَ رُوِيَ فِي خَبَرٍ آخَرَ : «إِنَّ شَرَّ الْبِقَاعِ دُورُ الْأُمَرَاءِ الَّذِينَ لا يَقْضُونَ بِالْحَقُّ».,"And it has been narrated in another report:
""Indeed, the worst of places are the courts of rulers who do not judge with justice.""",,"Man La Yahduruhu Al-Faqih, Vol.3 p.6 • Al-Nawadir (Lil-Rawandi), Vol.1 p.19 • Al-Wafi, Vol.16 p.897 • Wasa’il Al-Shi’ah, Vol.27 p.219 • Bihar Al-Anwar, Vol.72 p.380 • Bihar Al-Anwar, Vol.72 p.382",man-la-yahduruhu-al-faqih-vol.3-1.pdf,27,27
