Chapter Number,Chapter Title,Hadith Number,arabic_text,english_text,source,commentary,references,source_pdf,page_start,page_end
1,RECOMMENDED (NON-OBLIGATORY) PRAYERS,1,"مَا رَوَاهُ مُحَمَّدُ بَنْ أَحْمَدَ بْنِ يَحْيَى عَنْ مُحَمَّدِ بْنِ عِيسَى الْيَقْطِينِيَ عَنْ يُونُسَ بْنِ عَبْدِ الرَّحْمَنِ قَالَ حَدَّثَنِي
إِسْمَاعِيلُ بْنُ سَعْدِ الْأَحْوَصُ الْقُمِّيّ قَالَ: قُلْتُ لِلرِّضَا عَ كَمِ الصَلاَةُ مِنْ رَكَعَةِ قَالَ «إِحْدَى وَ خَمْسُونَ رَكَعَةٌ».","It was narrated by Muhammad ibn Ahmad ibn Yahya from Muhammad ibn Isa al-Yaqtini from Yunus ibn Abd
al-Rahman. He said: Isma‘il ibn Sa‘d al-Ahwas al-Qummi narrated to me.
He (Muhammad ibn Ahmad) said: I said to Imam al-Ridha {a.s},
“How many rak‘ahs (units) are there in prayer?”
Imam {a.s} said: “Fifty-one rak‘ahs (units).”",Abu al-Hasan Imam Ali ibn Musa al-Ridha {a.s},,"Al-Kafi, Vol.3 p.446 • Tahdib Al-Ahkam, Vol.2 p.3 • Al-Istibsar, Vol.1 p.218 • Awali Al-La’ali, Vol.3 p.65 • Al-Wafi, Vol.7 p.81 • Wasa’il Al-Shi’ah, Vol.4 p.49",tahdib-al-ahkam-vol.2.pdf,17,18
1,RECOMMENDED (NON-OBLIGATORY) PRAYERS,2,"وَرَوَى مُحَمَّدُ بْنُ يَعْقُوبَ عَنْ عَلِيَ بْنِ إبْرَاهِيمَ عَنْ أَبِيهِ عَنِ اِبْنِ أَبِي عُمَيْرٍ عَنِ إِبْنِ أَذَيْنَةَ عَنْ فُضَيْلِ بْنِ يَسَارٍ عَنْ
أَبِي عَبْدِ اللّهِ عَلَيْهِ السَّلاَمُ قَالَ: «الْفَرِيضَةُ وَ النَّافِلَةُ إِحْدَى وَ خَمْسُونَ رَكْعَةً مِنْهَا رَكْعَنَانِ بَعْدَ الْعَتَمَةِ جَالِساً تُعَدَّانٍ
بِرَكْعَةٍ وَ هُوَ قَائِمُ الْفَرِيضَةُ مِنْهَا سَبْعَ عَشْرَةَ رَكْعَةً وَ النَّافِلَةُ أَرْبَعٌ وَ ثَلاَثُونَ رَكْعَةً».","Muhammad ibn Ya‘qub narrated from Ali ibn Ibrahim from his father from Ibn Abi Umayr from Ibn Udhayna
from Fudayl ibn Yasar from Abu Abdillah {a.s}.
Imam {a.s} said: “The obligatory and recommended prayers are fifty-one rak‘ahs, among
them two rak‘ahs after the ‘Atamah (night prayer) while sitting, which are counted as
one rak‘ah when performed standing. The obligatory among them are seventeen
rak‘ahs, and the recommended are thirty-four rak‘ahs.”",Abu Abdillah Imam Ja’far ibn Muhammad al-Sadiq {a.s},,"Al-Kafi, Vol.3 p.443 • Tahdib Al-Ahkam, Vol.2 p.4 • Al-Istibsar, Vol.1 p.218 • Awali Al-La’ali, Vol.3 p.65 • Al-Wafi, Vol.7 p.75 • Wasa’il Al-Shi’ah, Vol.4 p.46 • Al-Fusul Al-Muhimmah, Vol.2 p.65",tahdib-al-ahkam-vol.2.pdf,18,18
1,RECOMMENDED (NON-OBLIGATORY) PRAYERS,3,"وَ بِهَذَا الْإِسْنَادٍ عَنِ ٱلْفُضَيْلِ بْنِ يَسَارٍ وَ ٱلْفَضْلِ بْنِ عَبْدِ ٱلْمَلِكِ وَ بُكَيْرٍ قَالُوا سَمِعْنَا أَبَا عَبْدِ اللّهِ عَلَيْهِ السَّلاَمُ يَقُولُ:
«كَانَ رَسُولُ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَ آلِهِ يُصَلِّي مِنَ التَطَوْعِ مِثلَى الْفَرِيضَةِ وَ يَصُومُ مِنَ التَّطَوْعِ مِثلَيِ ٱلْفَرِيضَةِ».","And through this same chain of transmission, from Fudayl ibn Yasar, and al-Fadl ibn Abd al-Malik, and
Bukayr, they said:
We heard Abu Abdillah {a.s} say: “The Messenger of Allah {SWT}, may Allah {SWT} bless him
and his family, used to perform supererogatory prayers equal to twice the number of
the obligatory prayers, and He {saws} used to fast supererogatory fasts equal to twice the
number of the obligatory fasts.”",Abu Abdillah Imam Ja’far ibn Muhammad al-Sadiq {a.s} & Abu al-Qasim Prophet Muhammad ibn Abdullah {saws},,"Al-Kafi, Vol.3 p.443 • Tahdib Al-Ahkam, Vol.2 p.4 • Al-Istibsar, Vol.1 p.218 • Awali Al-La’ali, Vol.3 p.65 • Al-Wafi, Vol.7 p.75 • Wasa’il Al-Shi’ah, Vol.4 p.46",tahdib-al-ahkam-vol.2.pdf,18,18
1,RECOMMENDED (NON-OBLIGATORY) PRAYERS,4,"وَ رَوَى مُحَمَّدُ بْنُ يَعْقُوبَ عَنْ مُحَمَّدِ بْنِ يَحْيَى عَنْ مُحَمَّدِ بْنِ الْحُسَيْنِ عَنْ مُحَمِّدِ بْنِ إِسْمَاعِيلَ بْنِ بَزِيعٍ عَنْ حَنَانٍ
قَالَ: سَأَلَ عَمْرُو بْنُ حُرَيْثٍ أَبَا عَبْدِ اللَّهِ عَلَيْهِ السَّلاَمُ وَ أَنَا جَالِسٌ فَقَالَ لَهُ أَخْبِرْنِي جُعِلْتُ فِدَاكَ - عَنْ صَلاةٍ رَسُولٍ
اللَّهِ صَلَّى اللّهُ عَلَيْهِ وَ آلِهِ فَقَالَ لَهُ «كَانَ النَّبِيُ صَلَّى اللَّهُ عَلَيْهِ وَ آلِهِ يُصَلِّي ثَمَانِيَ رَكَعَاتِ الزَّوَالِ وَ أَرْبَعاً الْأُولَى وَ
ثَمَانِيَ بَعْدَهَا وَ أَرْبَعاً الْعَصْرَ وَ ثَلاَثا الْمَغْرِبَ وَ أَرْبَعاً بَعْدَ الْمَغْرِبِ وَ الْعِشَاءَ الْآخِرَةَ أَرْبَعاً وَ ثَمَانِيَ صَلاَةَ اَللِّيْلِ وَ
ثَلاَثاً الْوَثْرَ وَ رَكْعَتَي اَلْفَجْرِ وَ صَلاَةَ اَلْغَدَاةِ رَكْعَتَيْنِ» قُلْتُ جُعِلْتُ فِدَاكَ فَإِنْ كُنْتُ أَقْوَى - عَلَى أَكْثَرَ مِنْ هَذَا أ
يُعَذَّبُنِي اللهُ عَلَى كَثْرَةِ الصَّلاَةِ فَقَالَ «لا وَ لَكِنْ يُعَذِّبُ عَلَى تَرْكِ السُّنَّةِ».","Muhammad ibn Ya‘qub narrated from Muhammad ibn Yahya from Muhammad ibn al-Husayn from
Muhammad ibn Isma‘il ibn Buzay‘ from Hanan. He said:
‘Amr ibn Hurayth asked Abu Abdillah {a.s}, while I was sitting (there), and he said to
Imam {a.s}: “Inform me, may I be your ransom, about the prayers of the Messenger of
Allah {SWT}, may Allah {SWT} bless him and his family.”
So Imam {a.s} said to him: “The Prophet, may Allah {SWT} bless him and his family, used
to pray eight rak‘ahs at the time of zawal, four (rak‘ahs) for the noon prayer (al-Dhuhr),
and eight after it, and four (rak‘ahs) for the afternoon prayer (al-’Asr), and three
(rak‘ahs) for the sunset prayer (al-Maghrib), and four after Maghrib, and the final night
prayer (Isha al-akhirah) four (rak‘ahs), and eight for the night prayer (salat al-layl), and
three for witr, and two rak‘ahs for the dawn prayer (al-fajr), and the morning prayer
(salat al-ghadah) two rak‘ahs.”
I said: “May I be your ransom, so if I have the strength for more than this, would Allah
{SWT} punish me for praying excessively?”
Imam {a.s} said: “No, but He {SWT} punishes for abandoning the Sunnah.”",Abu Abdillah Imam Ja’far ibn Muhammad al-Sadiq {a.s} & Abu al-Qasim Prophet Muhammad ibn Abdullah {saws},,"Al-Kafi, Vol.3 p.443 • Tahdib Al-Ahkam, Vol.2 p.4 • Al-Istibsar, Vol.1 p.218 • Awali Al-La’ali, Vol.3 p.68 • Al-Wafi, Vol.7 p.76 • Wasa’il Al-Shi’ah, Vol.4 p.47",tahdib-al-ahkam-vol.2.pdf,18,19
1,RECOMMENDED (NON-OBLIGATORY) PRAYERS,5,"مُحَمَّدُ بْنُ يَعْقُوبَ عَنْ مُحَمَّدِ بْنِ يَحْيَى عَنْ أَحْمَدَ بْنِ مُحَمَّدٍ عَنْ عَلِيَ بْنِ حَدِيدٍ عَنْ عَلِيَّ بْنِ النُّعْمَانِ عَنِ الْحَارِثِ
بْنِ ٱلْمُغِيرَةِ النَّصْرِيِّ قَالَ سَمِعْتُ أَبَا عَبْدِ اللَّهِ عَلَيْهِ السَّلَاَمُ يَقُولُ: «صَلاَةُ ٱَلنَّهَارِ سِتَّ عَشَرَةَ رَكْعَةً ثَمَانٍ إِذَا زَالَتِ
الشَّمْسُ وَثَمَانٍ بَعْدَ الظُّهْرِ وَ أَرْبَعُ رَكَعَاتٍ بَعْدَ الْمَغْرِبِ يَا حَارِثُ لا تَدَعْهُنَّ فِي سَفَرٍ وَ لا حَضَرٍ وَ رَكْعَتَانٍ بَعْدَ الْعِشَاءِ
اَلْآخِرَةِ كَانَ أَبِي يُصَلِّيهِمَا وَ هُوَ قَاعِدٌ وَ أَنَا أُصَلِّيهِمَا وَ أَنَا قَائِمْ وَ كَانَ يُصَلِّي رَسُولُ اللّهِ صَلَّى اللّهُ عَلَيْهِ وَ آلِهِ ثَلاَثَ
عَشرَةَ رَكْعَةً مِنَ اللَّيْلِ».","Muhammad ibn Ya‘qub narrated from Muhammad ibn Yahya from Ahmad ibn Muhammad from Ali ibn Hadid
from Ali ibn al-Nu‘man from al-Harith ibn al-Mughirah al-Nasri. He said:
I heard Abu Abdillah {a.s} say: “The day prayers are sixteen rak‘ahs: eight when the sun
passes the meridian (zawal), and eight after Dhuhr, and four rak‘ahs after Maghrib.
O’ Harith, do not abandon them in travel or in residence.
And two rak‘ahs after the final Isha prayer, my father {a.s} used to pray them while sitting,
and I pray them while standing. And the Messenger of Allah {SWT}, may Allah {SWT} bless
him and his family, used to pray thirteen rak‘ahs in the night.”",Abu Abdillah Imam Ja’far ibn Muhammad al-Sadiq {a.s} & Abu Ja’far Imam Muhammad ibn Ali al- Baqir {a.s} & Abu al-Qasim Prophet Muhammad ibn Abdullah {saws},,"Al-Kafi, Vol.3 p.446 • Tahdib Al-Ahkam, Vol.2 p.4 • Tahdib Al-Ahkam, Vol.2 p.9 • Awali Al- La’ali, Vol.3 p.66 • Al-Wafi, Vol.7 p.80 • Wasa’il Al-Shi’ah, Vol.4 p.48",tahdib-al-ahkam-vol.2.pdf,19,20
1,RECOMMENDED (NON-OBLIGATORY) PRAYERS,6,"وَ رَوَى الْحُسَيْنُ بْنُ سَعِيدِ عَنْ مُحَمَّدِ بْنِ سِنَانٍ عَنِ اِبْنِ مُسْكَانَ عَنِ إبْنِ أَبِي عُمَيْرِ قَالَ: سَأَلْتُ أَبَا عَبْدِ آللَّهِ عَلَيْهِ
السَّلَامُ - عَنْ أَفْضَلِ مَا جَرَثْ بِهِ السُنَّةُ مِنَ الصَّلاَةِ قَالَ «تَمَامُ الْخَمْسِينَ».","Al-Husayn ibn Sa‘id narrated from Muhammad ibn Sinan from Ibn Maskan from Ibn Abi Umayr. He said:
I asked Abu Abdillah {a.s} about the best that has been established by the Sunnah in
prayer.
Imam {a.s} said: “The complete fifty (units).”",Abu Abdillah Imam Ja’far ibn Muhammad al-Sadiq {a.s},,"Al-Kafi, Vol.3 p.443 • Tahdib Al-Ahkam, Vol.2 p.5 • Al-Wafi, Vol.7 p.76 • Wasa’il Al-Shi’ah, Vol.4 p.46",tahdib-al-ahkam-vol.2.pdf,20,20
1,RECOMMENDED (NON-OBLIGATORY) PRAYERS,7,"وَ رَوَى الْحُسَيْنُ بْنُ سَعِيدِ عَنْ مُحَمَّدِ بْنِ أَبِي عُمَيْرٍ عَنْ حَمَّادِ بْنِ عُثْمَانَ قَالَ: سَأَلْتُ أَبَا عَبْدِ اللَّهِ عَلَيْهِ ٱلسَّلَاَمُ - عَنْ
صَلاَةِ رَسُولِ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَ آلِهِ بِالنَّهَارِ فَقَالَ «وَ مَنْ يُطِيقُ ذَلِكَ » ثُمَّ قَالَ »وَ لَكِنْ أَلا أُخْبِرُكَ كَيْفَ أَصْنَعُ
أنَا» فَقُلْتُ بَلَى فَقَالَ «ثَمَانِيَ رَكَعَاتٍ قَبْلَ الظُهْرِ وَ ثَمَانٍ بَعْدَهَا» قُلْتُ فَالْمَغْرِبُ قَالَ «أَرْبَعْ بَعْدَهَا» قُلْتُ فَالْعَتَمَةُ
قَالَ «كَانَ رَسُولُ اللهِ صَلَّى اللهُ عَلَيْهِ وَ آلِهِ يُصَلِّي ٱلْعَتَمَةَ ثُمَّ يَنَامُ» وَ قَالَ بِيَدِهِ هَكَذَا فَحَرَّكَهَا: قَالَ اِبْنُ أَبِي عُمَيْرٍ
ثُمَّ وَصَفَ عَلَيْهِ السَّلامُ كَمَا ذَكَرَ أَصْحَابُنَا.","Al-Husayn ibn Sa‘id narrated from Muhammad ibn Abi Umayr from Hammad ibn ‘Uthman. He said:
I asked Abu Abdillah {a.s} about the prayer of the Messenger of Allah {SWT}, may Allah {SWT}
bless him and his family, during the day.
Imam {a.s} said: “And who can endure that?”
Then Imam {a.s} said: “Shall I not inform you how I myself do?”
I said: “Yes.”
So Imam {a.s} said: “Eight rak‘ahs before Dhuhr and eight after it.”
I asked: “(What about) Maghrib?”
Imam {a.s} said: “Four after it.”
I asked: “(What about) the ‘atamah (night prayer)?”
Imam {a.s} said: “The Messenger of Allah {SWT}, may Allah {SWT} bless him and his family,
used to pray ‘atamah and then sleep.” And Imam {a.s} moved his hand like this.
Ibn Abi Umayr said: Then Imam {a.s} described it as our companions have mentioned.",Abu Abdillah Imam Ja’far ibn Muhammad al-Sadiq {a.s},,"Tahdib Al-Ahkam, Vol.2 p.5 • Al-Wafi, Vol.7 p.81 • Wasa’il Al-Shi’ah, Vol.4 p.50",tahdib-al-ahkam-vol.2.pdf,20,21
1,RECOMMENDED (NON-OBLIGATORY) PRAYERS,8,"وَ رَوَى الْحُسَيْنُ بْنُ سَعِيدِ عَنْ عُثْمَانَ بْنِ عِيسَى عَنِ اِبْنِ مُسْكَانَ عَنْ سُلَيْمَانَ بْنِ خَالِدٍ عَنْ أَبِي عَبْدِ اللَّهِ عَلَيْهِ
السَّلاَمُ قَالَ: «صَلاَةُ النَّافِلَةِ ثَمَانْ رَكَعَاتٍ حِينَ تَزُولُ الشَمْسُ قَبْلَ ٱلظُهْرِ وَ سِتُّ رَكَعَاتٍ بَعْدَ ٱلظُهْرِ وَ رَكْعَتَانِ قَبْلَ
الْعَصْرِ وَ أَزْبَعُ رَكَعَاتٍ بَعْدَ الْمَغْرِبِ وَ رَكْعَتَانٍ بَعْدَ الْعِشَاءِ الْآخِرَةِ تَقْرَأْ فِيهِمَا مِائَةَ آيَةِ قَائِمًا أَوْ قَاعِداً وَ الْقِيَامُ أَفْضَلُ
وَ لا تَعُدُّهُمَا مِنَ الْخَمْسِينَ وَ ثَمَانُ رَكَعَاتٍ مِنْ آجِرِ اللَّيْلِ تَقْرَأْ فِي صَلاةِ اللَّيْلِ بِ «قُلْ هُوَ اللَهُ أَحَدٌ» وَ «قُلْ يَا أَيْهَا
الْكَافِرُونَ» فِي الرَّكْعَتَيْنِ الْأَوْلَتَيْنِ وَ تَقْرَأْ فِي سَائِرِهَا مَا أَحْبَبْتَ مِنَ ٱلْقُرْآنِ ثُمَّ ٱلْوَثْرُ ثَلاَثُ رَكَعَاتٍ تَقْرَأْ فِيهَا جَمِيعاً
«قُلْ هُوَ اللَهُ أَحَدٌ» وَ تَفْصِلُ بَيْنَهُنَّ بِتَسْلِيمِ ثُمَّ ٱلرَّكْعَتَانِ اللَّتَانِ قَبْلَ ٱلْفَجْرِ تَقْرَأْ فِي ٱلْأُولَى مِنْهُمَا - «قُلْ يَا أَيْهَا
الْكَافِرُونَ» وَ فِي الثَّانِيَةِ «قُلْ هُوَ اللهُ» ».","Al-Husayn ibn Sa‘id narrated from Uthman ibn Isa from Ibn Maskan from Sulayman ibn Khalid from Abu
Abdillah {a.s}.
Imam {a.s} said: “The prayer of the nafilah (supererogatory prayer) is eight rak‘ahs when
the sun passes the meridian (before Dhuhr), and six rak‘ahs after Dhuhr, and two
rak‘ahs before ‘Asr, and four rak‘ahs after Maghrib, and two rak‘ahs after the final Isha
prayer, you recite in them one hundred verses, whether standing or sitting, and
standing is better, but do not count them among the fifty (rak‘ahs).
And eight rak‘ahs at the end of the night, in the night prayer (salat al-layl), you recite
‘Qul huwa Allahu ahad’ (Surah Ikhlas) and ‘Qul ya ayyuha al-kafirun’ (Surah Al Kafirun)
in the first two rak‘ahs, and in the rest you may recite whatever you wish from the
Qur’an. Then comes the witr prayer, three rak‘ahs, in which you recite ‘Qul huwa
Allahu ahad’ (Surah Ikhlas) in all of them, and you separate between them with a
taslim. Then the two rak‘ahs before the dawn prayer, in the first of them you recite ‘Qul
ya ayyuha al-kafirun’ (Surah Al Kafirun), and in the second (unit) ‘Qul huwa Allahu
ahad’ (Surah Ikhlas).”",Abu Abdillah Imam Ja’far ibn Muhammad al-Sadiq {a.s},,"Tahdib Al-Ahkam, Vol.2 p.5 • Awali Al-La’ali, Vol.3 p.66 • Al-Wafi, Vol.7 p.82 • Wasa’il Al- Shi’ah, Vol.4 p.51",tahdib-al-ahkam-vol.2.pdf,21,21
1,RECOMMENDED (NON-OBLIGATORY) PRAYERS,9,"فَأَمَّا الْأَحَادِيثُ الَّتِي رُوِيَتْ فِي نُقْصَانٍ مَا ذَكَرْنَاهُ مِنَ الصَّلاةِ مِثْلُ مَا رَوَاهُ أَحْمَدُ بْنُ مُحَمَّدِ بْنِ عِيسَى عَنِ ٱلْحَسَنِ
بْنِ عَلِيَّ بْنِ بِئْتِ إِلْيَاسَ عَنْ عَبْدِ اللّهِ بْنِ سِنَانٍ قَالَ سَمِعْتُ أَبَا عَبْدِ اللّهِ عَلَيْهِ السَّلَاَمُ يَقُولُ: « لا تُصَلٌ أَقَلَّ مِنْ أَرْبَعِ
وَأَرْبَعينَ رَكْعَةً» قَالَ وَ رَأَيْتُهُ يُصَلِّي بَعْدَ الْعَتَمَةِ أَرْبَعَ رَكَعَاتٍ.
فليس في هذا الخبر نهي عن ما زاد على الاربعة وأربعين وإنما نهى عليه السلام أن ينقص عنها, ولا يمتنع أن يحث
عليه السلام على هذه الاربعة وأربعين ركعة لتأكدها وشدة استحبابها بهذا الخبر، ويحث على ما عداها بحديث آخر, وقد
قدمنا من الاحاديث ما يتضمن ذلك.","As for the narrations that have been reported regarding a lesser number than what we have mentioned
concerning prayer, such as what was narrated by Ahmad ibn Muhammad ibn Isa from al-Hasan ibn Ali ibn
Bint Ilyas from Abdillah ibn Sinan, who said:
I heard Abu Abdillah {a.s} say: “Do not pray less than forty-four rak‘ahs.”
He (narrator) said: “And I saw him (Imam {a.s}) praying four rak‘ahs after the ‘atamah
(final night prayer).",Abu Abdillah Imam Ja’far ibn Muhammad al-Sadiq {a.s},"So there is nothing in this report that prohibits performing more than forty-four rak‘ahs;
rather, He {a.s} forbade performing less than that. And it is not unlikely that He {a.s} would
encourage these forty-four rak‘ahs in this narration due to their emphasis and strong
recommendation, and that he would encourage what is beyond them in another
narration. And we have already presented narrations that include that.","Tahdib Al-Ahkam, Vol.2 p.5",tahdib-al-ahkam-vol.2.pdf,21,22
1,RECOMMENDED (NON-OBLIGATORY) PRAYERS,10,"وَ مَا رَوَاهُ أَحْمَدُ بْنُ مُحَمَّدِ بْنِ عِيسَى عَنْ يَحْيَى بْنِ حَبِيبِ قَالَ: سَأَلْتُ الرِّضَا عَلَيْهِ السَّلاَمُ - عَنْ أَفْضَلِ مَا يَتَقَرَّبُ
بِهِ الْعِبَادُ إِلَى اللّهِ تَعَالَى مِنَ الصَّلاةِ قَالَ «سِتُ وَ أَرْبَعُونَ رَكْعَةً فَرَائِضُهُ وَ نَوَافِلُهُ» قُلْتُ هَذِهِ رِوَايَةُ زُرَارَةَ قَالَ «أَ
وَ تَرَى أَحَداً كَانَ أَصْدَعَ بِالْحَقَّ مِنْهُ».
وهذا الحديث أيضا ليس فيه نهي عما عدا هذه الصلوات, وإنما سأله عن أفضل ما يتقرب به العباد فذكر هذه الستة وأربعين
وأفردها به لما كان ما يزيد عليها من الصلوات دونها في الفضل, ويدل على أن المراد ما ذكرناه وأنه أراد تأكد فضل هذه
الستة واربعين ركعة","And what was narrated by Ahmad ibn Muhammad ibn Isa from Yahya ibn Habib, he said:
I asked (Imam) al-Ridha {a.s} about the best form of prayer through which the servants
may draw near to Allah {SWT}, the Exalted.
Imam {a.s} said: “Forty-six rak‘ahs, its obligatory and supererogatory prayers.”
I said: “This is the narration of Zurarah.”
Imam {a.s} said: “And do you see anyone who proclaimed the truth more clearly than he
(Zurarah) did?”",Abu al-Hasan Imam Ali ibn Musa al-Ridha {a.s},"And this narration also does not contain any prohibition against other prayers besides
these. Rather, He {a.s} was asked about the best means by which the servants may draw
near (to Allah {SWT}), so He {a.s} mentioned these forty-six and singled them out because
what exceeds them from other prayers is lower than them in merit. And what indicates
that what we have mentioned is intended, is that He {a.s} meant to emphasize the virtue
of these forty-six rak‘ahs.","Rijal Al-Kashshi, Vol.1 p.143 • Tahdib Al-Ahkam, Vol.2 p.6 • Al-Istibsar, Vol.1 p.219 • Awali Al-La’ali, Vol.3 p.67 • Al-Wafi, Vol.7 p.83 • Wasa’il Al-Shi’ah, Vol.4 p.60 • Bihar Al-Anwar, Vol.7 9 p.292",tahdib-al-ahkam-vol.2.pdf,22,23
